Brand Name,Device Type,Model Name,Color,Selling Price,Original Price,Display,Rating (Out of 5),Strap Material,Average Battery Life (in days),Reviews
SAMSUNG ,Smartwatch,Galaxy Active 2,Grey,12990,25990,AMOLED Display,4.5,Silicone,7,
SAMSUNG ,Smartwatch,Galaxy Classic 4,Black,32959,37999,AMOLED Display,4.6,Elastomer,14,
SAMSUNG ,Smartwatch,Galaxy Classic 4,Silver,40000,42999,AMOLED Display,4.6,Elastomer,14,
SAMSUNG ,Smartwatch,Galaxy Classic 4,Silver,34999,37999,AMOLED Display,4.6,Elastomer,14,
SAMSUNG ,Smartwatch,Galaxy Classic 4 LTE,Black,28999,31999,AMOLED Display,5,Elastomer,14,
SAMSUNG ,FitnessBand,Galaxy Fit-e Smart,Black,2000,2590,PMOLED Display,3.8,Rubber,7,
SAMSUNG ,FitnessBand,Galaxy Fit-e Smart,Yellow,2490,2590,PMOLED Display,3.8,Rubber,7,
SAMSUNG ,FitnessBand,Galaxy Fit,Silver,8990,9990,AMOLED Display,4,Rubber,7,
SAMSUNG ,Smartwatch,Galaxy Watch 3,Black,28990,30990,AMOLED Display,4.3,Leather,14,
SAMSUNG ,Smartwatch,Galaxy Watch 4 LTE,Black,31999,34999,AMOLED Display,4.6,Elastomer,14,
SAMSUNG ,Smartwatch,Galaxy Watch 4 Classic LTE,Black,40000,42999,AMOLED Display,4.6,Elastomer,14,
SAMSUNG ,Smartwatch,Galaxy Watch 4 LTE,Pink,28999,31999,AMOLED Display,4.6,Elastomer,14,
SAMSUNG ,Smartwatch,Galaxy Active 2,Grey,18990,28490,AMOLED Display,4.1,Silicone,14,
SAMSUNG ,Smartwatch,Galaxy 46mm,Grey,16990,33999,AMOLED Display,4.5,Elastomer,7,
SAMSUNG ,Smartwatch,Galaxy Classic 4 LTE,"Silver, Green",36999,39999,AMOLED Display,4.6,Elastomer,14,
SAMSUNG ,Smartwatch,Galaxy Active Steel 2 LTE,Brown,30990,34490,AMOLED Display,4.1,Silicone,14,
SAMSUNG ,Smartwatch,Galaxy Active Steel 2,Black,24490,31990,AMOLED Display,4.3,Silicone,14,
SAMSUNG ,Smartwatch,Galaxy Classic 4,Blue,34999,34999,AMOLED Display,4.6,Silicone,14,
